actual,predicted,confidence,precision,recall
Tom_Hanks,Tom_Hanks,99.87909698486328,True,1
Robert_Mueller,Robert_Mueller,99.96620178222656,True,1
Helen_Clark,Helen_Clark,99.95989990234375,True,1
Spencer_Abraham,,,,0
Sarah_Jessica,Sarah_Jessica,99.56489562988281,True,1
Gil_de,,,,0
Jacques_Rogge,Jacques_Rogge,99.96430206298828,True,1
William_Ford,Spencer_Abraham,99.92539978027344,False,1
Holly_Hunter,Holly_Hunter,99.85759735107422,True,1
Naoto_Kan,Naoto_Kan,99.9426040649414,True,1
Heidi_Fleiss,Rita_Wilson,99.31900024414062,False,1
Bill_Frist,Bill_Frist,99.89720153808594,True,1
Jeong_Se-hyun,Jeong_Se-hyun,99.70719909667969,True,1
Zhang_Ziyi,,,,0
Elizabeth_Hurley,,,,0
Justin_Timberlake,,,,0
Mahmoud_Abbas,Paul_ONeill,99.1874008178711,False,1
Alvaro_Uribe,Alvaro_Uribe,99.9822006225586,True,1
Condoleezza_Rice,Condoleezza_Rice,99.97450256347656,True,1
Jesse_Jackson,Antonio_Palocci,99.91210174560547,False,1
Joseph_Biden,Glafcos_Clerides,99.82949829101562,False,1
Kurt_Warner,Kurt_Warner,99.9491958618164,True,1
Slobodan_Milosevic,Slobodan_Milosevic,99.92579650878906,True,1
Benazir_Bhutto,Holly_Hunter,99.99720001220703,False,1
Hipolito_Mejia,Hipolito_Mejia,99.75320434570312,True,1
Angelina_Jolie,Angelina_Jolie,99.94850158691406,True,1
Paul_ONeill,Paul_ONeill,99.1874008178711,True,1
Vanessa_Redgrave,Vanessa_Redgrave,99.88890075683594,True,1
Martha_Stewart,Martha_Stewart,99.63629913330078,True,1
Sandra_Bullock,Sandra_Bullock,99.50810241699219,True,1
Queen_Elizabeth,Queen_Elizabeth,99.83679962158203,True,1
Bill_McBride,,,,0
Dick_Cheney,,,,0
Javier_Solana,Javier_Solana,99.85050201416016,True,1
Tom_Daschle,Tom_Daschle,99.70039367675781,True,1
Salma_Hayek,Salma_Hayek,99.71630096435547,True,1
Vincent_Brooks,Vincent_Brooks,99.79249572753906,True,1
Jennifer_Aniston,Jennifer_Aniston,99.84970092773438,True,1
Cesar_Gaviria,Cesar_Gaviria,99.660400390625,True,1
Igor_Ivanov,David_Wells,98.90350341796875,False,1
Bob_Huggins,Edwina_Currie,99.3124008178711,False,1
Thomas_OBrien,Glafcos_Clerides,99.21399688720703,False,1
Robert_De,,,,0
Peter_Struck,Peter_Struck,99.04650115966797,True,1
Mohammad_Khatami,Mohammad_Khatami,99.61219787597656,True,1
Fidel_Castro,,,,0
Luis_Horna,Andy_Roddick,99.94619750976562,False,1
Andy_Roddick,Luis_Horna,99.3667984008789,False,1
John_Paul,,,,0
Giuseppe_Gibilisco,Giuseppe_Gibilisco,99.78079986572266,True,1
Liza_Minnelli,Liza_Minnelli,98.57379913330078,True,1
Renee_Zellweger,Renee_Zellweger,99.19309997558594,True,1
George_Lopez,George_Lopez,99.25780487060547,True,1
Edwina_Currie,Edwina_Currie,99.3124008178711,True,1
Antonio_Palocci,,,,0
Diana_Krall,Diana_Krall,99.35810089111328,True,1
Tommy_Franks,,,,0
David_Wells,,,,0
Bulent_Ecevit,Bulent_Ecevit,99.81399536132812,True,1
Patricia_Clarkson,Patricia_Clarkson,99.16669464111328,True,1
Vaclav_Havel,Vaclav_Havel,99.84870147705078,True,1
Walter_Mondale,Walter_Mondale,99.82330322265625,True,1
Woody_Allen,Taha_Yassin,80.86140441894531,False,1
Amer_al-Saadi,Amer_al-Saadi,97.62149810791016,True,1
Tom_Harkin,Tom_Harkin,98.95069885253906,True,1
Richard_Myers,,,,0
Venus_Williams,Venus_Williams,99.57479858398438,True,1
