actual,predicted,confidence,precision,recall
Eliane_Karp,Eliane_Karp,99.99610137939453,True,1
Vojislav_Kostunica,Vojislav_Kostunica,99.9884033203125,True,1
Arnold_Schwarzenegger,Arnold_Schwarzenegger,99.97850036621094,True,1
Tom_Hanks,Jesse_Jackson,99.17119598388672,False,1
Rudolph_Giuliani,Rudolph_Giuliani,99.98270416259766,True,1
Robert_Mueller,Robert_Mueller,99.96620178222656,True,1
Tiger_Woods,Tiger_Woods,99.99510192871094,True,1
Helen_Clark,Helen_Clark,99.8418960571289,True,1
Julie_Gerberding,Win_Aung,98.22540283203125,False,1
Arminio_Fraga,Arminio_Fraga,99.92750549316406,True,1
John_Abizaid,John_Abizaid,99.86910247802734,True,1
Spencer_Abraham,Spencer_Abraham,99.6063003540039,True,1
Robert_Blake,Robert_Blake,99.99919891357422,True,1
George_W,George_W,99.86289978027344,True,1
Heather_Mills,Heather_Mills,99.87580108642578,True,1
Sarah_Hughes,Sarah_Hughes,99.9623031616211,True,1
Dennis_Kucinich,Dennis_Kucinich,99.96790313720703,True,1
Gordon_Brown,Gordon_Brown,99.99549865722656,True,1
Yevgeny_Kafelnikov,Yevgeny_Kafelnikov,99.99559783935547,True,1
Donald_Rumsfeld,Donald_Rumsfeld,99.99079895019531,True,1
Jean_Chretien,Jean_Chretien,99.92970275878906,True,1
Jeremy_Greenstock,Jeremy_Greenstock,99.9542007446289,True,1
Tony_Blair,Tony_Blair,99.9813003540039,True,1
Michael_Schumacher,Michael_Schumacher,99.47750091552734,True,1
Monica_Bellucci,Monica_Bellucci,99.95960235595703,True,1
LeBron_James,LeBron_James,99.98770141601562,True,1
Cate_Blanchett,Cate_Blanchett,99.54080200195312,True,1
Boris_Becker,Boris_Becker,99.98069763183594,True,1
David_Nalbandian,David_Nalbandian,99.9760971069336,True,1
Sarah_Jessica,Nicanor_Duarte,99.9508056640625,False,1
Gil_de,,,,0
Jose_Maria,Jose_Maria,99.97050476074219,True,1
Ray_Romano,Ray_Romano,99.9365005493164,True,1
David_Beckham,David_Beckham,99.97959899902344,True,1
Ariel_Sharon,Ariel_Sharon,99.77890014648438,True,1
Lleyton_Hewitt,Lleyton_Hewitt,99.99970245361328,True,1
Vladimir_Putin,Vladimir_Putin,99.95719909667969,True,1
John_Howard,John_Howard,99.86309814453125,True,1
Pierce_Brosnan,Pierce_Brosnan,99.99469757080078,True,1
Jack_Straw,Jack_Straw,99.95660400390625,True,1
Joschka_Fischer,Joschka_Fischer,99.97799682617188,True,1
Jacques_Rogge,Jacques_Rogge,99.8782958984375,True,1
Ann_Veneman,Ann_Veneman,99.99690246582031,True,1
William_Ford,Naoto_Kan,99.88290405273438,False,1
Jacques_Chirac,Jacques_Chirac,99.67880249023438,True,1
Shimon_Peres,Shimon_Peres,99.73660278320312,True,1
