actual,predicted,confidence,precision,recall
Tom_Hanks,Jeong_Se-hyun,99.8135986328125,False,1
Robert_Mueller,Robert_Mueller,99.8803939819336,True,1
Helen_Clark,Helen_Clark,99.91189575195312,True,1
Spencer_Abraham,William_Macy,95.05370330810547,False,1
Sarah_Jessica,Sarah_Jessica,99.17829895019531,True,1
Gil_de,,,,0
Jacques_Rogge,Tom_Harkin,99.88859558105469,False,1
William_Ford,Geoff_Hoon,99.98900604248047,False,1
Holly_Hunter,Holly_Hunter,99.46150207519531,True,1
Naoto_Kan,Naoto_Kan,99.86109924316406,True,1
Heidi_Fleiss,Martina_McBride,98.69269561767578,False,1
Bill_Frist,Bill_Frist,99.97059631347656,True,1
Jeong_Se-hyun,Javier_Solana,99.97140502929688,False,1
Zhang_Ziyi,Liza_Minnelli,99.2654037475586,False,1
Elizabeth_Hurley,,,,0
Justin_Timberlake,Slobodan_Milosevic,99.9552001953125,False,1
Mahmoud_Abbas,Mahmoud_Abbas,97.74459838867188,True,1
Alvaro_Uribe,Alvaro_Uribe,99.67340087890625,True,1
Condoleezza_Rice,Condoleezza_Rice,99.28510284423828,True,1
Jesse_Jackson,Antonio_Palocci,99.93170166015625,False,1
Joseph_Biden,,,,0
Kurt_Warner,Grant_Hackett,99.74330139160156,False,1
Slobodan_Milosevic,Slobodan_Milosevic,99.9552001953125,True,1
Benazir_Bhutto,Salma_Hayek,99.84639739990234,False,1
Hipolito_Mejia,Hipolito_Mejia,99.35919952392578,True,1
Angelina_Jolie,Salma_Hayek,99.84639739990234,False,1
Paul_ONeill,Peter_Struck,99.9823989868164,False,1
Vanessa_Redgrave,Vanessa_Redgrave,99.76339721679688,True,1
Martha_Stewart,Martha_Stewart,99.85600280761719,True,1
Sandra_Bullock,Edwina_Currie,99.02399444580078,False,1
Queen_Elizabeth,Queen_Elizabeth,99.98080444335938,True,1
Bill_McBride,Bill_McBride,99.23099517822266,True,1
Dick_Cheney,Dick_Cheney,99.70240020751953,True,1
Javier_Solana,Javier_Solana,99.97140502929688,True,1
Tom_Daschle,,,,0
Salma_Hayek,Salma_Hayek,99.84639739990234,True,1
Vincent_Brooks,Vincent_Brooks,99.37969970703125,True,1
Jennifer_Aniston,Jennifer_Aniston,99.79969787597656,True,1
Cesar_Gaviria,Cesar_Gaviria,99.98880004882812,True,1
Igor_Ivanov,Igor_Ivanov,99.93170166015625,True,1
Bob_Huggins,,,,0
Thomas_OBrien,Tom_Harkin,99.88859558105469,False,1
Robert_De,,,,0
Peter_Struck,Peter_Struck,99.9823989868164,True,1
Mohammad_Khatami,Mohammad_Khatami,99.2905044555664,True,1
Fidel_Castro,Fidel_Castro,95.75799560546875,True,1
Luis_Horna,Luis_Horna,99.86969757080078,True,1
Andy_Roddick,Jacques_Rogge,99.86260223388672,False,1
John_Paul,,,,0
Giuseppe_Gibilisco,Giuseppe_Gibilisco,99.82290649414062,True,1
Liza_Minnelli,,,,0
Renee_Zellweger,Naoto_Kan,99.86109924316406,False,1
George_Lopez,Cesar_Gaviria,99.98880004882812,False,1
Edwina_Currie,Edwina_Currie,99.02399444580078,True,1
Antonio_Palocci,Antonio_Palocci,99.93170166015625,True,1
Diana_Krall,Diana_Krall,99.84739685058594,True,1
Tommy_Franks,Adam_Sandler,99.64799499511719,False,1
David_Wells,,,,0
Bulent_Ecevit,Tom_Harkin,99.88859558105469,False,1
Patricia_Clarkson,Patricia_Clarkson,99.99120330810547,True,1
Vaclav_Havel,William_Macy,95.05370330810547,False,1
Walter_Mondale,Glafcos_Clerides,98.29229736328125,False,1
Woody_Allen,Woody_Allen,99.97460174560547,True,1
Amer_al-Saadi,,,,0
Tom_Harkin,Tom_Harkin,99.88859558105469,True,1
Richard_Myers,Richard_Myers,99.82889556884766,True,1
Venus_Williams,Venus_Williams,99.28789520263672,True,1
Mark_Philippoussis,Mark_Philippoussis,99.95089721679688,True,1
Eduardo_Duhalde,Eduardo_Duhalde,99.70189666748047,True,1
Paul_Burrell,Paul_Burrell,99.96430206298828,True,1
Taha_Yassin,,,,0
Jimmy_Carter,Jimmy_Carter,99.97320556640625,True,1
Mike_Martz,,,,0
Win_Aung,Win_Aung,99.39559936523438,True,1
Geoff_Hoon,Geoff_Hoon,99.98900604248047,True,1
Michael_Powell,Michael_Powell,99.9782943725586,True,1
JK_Rowling,JK_Rowling,99.58720397949219,True,1
William_Donaldson,Peter_Struck,99.9823989868164,False,1
Glafcos_Clerides,,,,0
William_Macy,Tom_Harkin,99.88859558105469,False,1
Costas_Simitis,,,,0
Clara_Harris,Clara_Harris,99.956298828125,True,1
Maria_Soledad,Maria_Soledad,99.85569763183594,True,1
John_McCain,,,,0
Claudia_Pechstein,Elizabeth_Hurley,98.97869873046875,False,1
Justin_Leonard,,,,0
Padraig_Harrington,Justin_Leonard,99.78050231933594,False,1
Adam_Sandler,Alvaro_Uribe,99.67340087890625,False,1
Laura_Linney,Laura_Linney,99.95690155029297,True,1
Grant_Hackett,Adam_Sandler,99.64799499511719,False,1
Barbara_Walters,Debbie_Reynolds,98.5801010131836,False,1
Sophia_Loren,Sophia_Loren,99.25299835205078,True,1
Osama_bin,Osama_bin,94.87000274658203,True,1
Christopher_Reeve,Christopher_Reeve,99.3678970336914,True,1
Martina_McBride,Maria_Soledad,99.85569763183594,False,1
Rick_Pitino,Rick_Pitino,99.95120239257812,True,1
Bruce_Springsteen,Luis_Horna,99.86969757080078,False,1
Zoran_Djindjic,Zoran_Djindjic,99.86129760742188,True,1
Debbie_Reynolds,Debbie_Reynolds,98.5801010131836,True,1
Rita_Wilson,Rita_Wilson,99.6106948852539,True,1
